seq	name	size	sha1	licence	artist	url	descurl	category
0001	photo_0001.jpg	5753572	007c43897f2fd62fad38359c9ed50715cc062b83	CC BY 4.0	Julian Herzog (Website)	https://upload.wikimedia.org/wikipedia/commons/5/58/Maersk_headquarters_Copenhagen_2014_01.jpg	https://commons.wikimedia.org/wiki/File:Maersk_headquarters_Copenhagen_2014_01.jpg	Featured pictures of buildings
0002	photo_0002.jpg	2577064	00eb1fef1fe59f115dde1020626c00602fdfa265	Public domain	José Rosael/Hélio Nobre/Museu Paulista da USP	https://upload.wikimedia.org/wikipedia/commons/d/de/Contorno_da_Torre_Eiffel_com_o_Dirig%C3%ADvel_N%C2%BA6_-_1-13651-0000-0000%2C_Acervo_do_Museu_Paulista_da_USP.jpg	https://commons.wikimedia.org/wiki/File:Contorno_da_Torre_Eiffel_com_o_Dirig%C3%ADvel_N%C2%BA6_-_1-13651-0000-0000,_Acervo_do_Museu_Paulista_da_USP.jpg	Featured pictures of people
0003	photo_0003.jpg	10617550	01e7c1e10aac20f7b4e88a34975265380382f0df	CC BY-SA 3.0	Quartl	https://upload.wikimedia.org/wikipedia/commons/f/fa/Wilhelma_Maurisches_Landhaus_qtl1.jpg	https://commons.wikimedia.org/wiki/File:Wilhelma_Maurisches_Landhaus_qtl1.jpg	Featured pictures of buildings
0004	photo_0004.jpg	6062002	022b4409d90162c2fb202d86862c8dd7a29f67f3	CC BY-SA 3.0	Jason Zhang	https://upload.wikimedia.org/wikipedia/commons/9/93/Ryerson_Market_cucumbers_on_sale.jpg	https://commons.wikimedia.org/wiki/File:Ryerson_Market_cucumbers_on_sale.jpg	Quality images of food
0005	photo_0005.jpg	7599090	0261ec04b5941a3be1b06eba30ae2795fd59dd3d	CC BY-SA 4.0	Basile Morin	https://upload.wikimedia.org/wikipedia/commons/a/a8/Mountains_clouds_Mekong_and_dwellings_from_Mount_Phou_Si_at_sunrise_in_Luang_Prabang_Laos.jpg	https://commons.wikimedia.org/wiki/File:Mountains_clouds_Mekong_and_dwellings_from_Mount_Phou_Si_at_sunrise_in_Luang_Prabang_Laos.jpg	Featured pictures of landscapes
0006	photo_0006.jpg	12207931	0263d4c69abd8b64b0aed8b7c9d6bd522d5861cc	CC BY-SA 4.0	Tournasol7	https://upload.wikimedia.org/wikipedia/commons/3/34/Palais_de_l%27Isle_in_Annecy_11.jpg	https://commons.wikimedia.org/wiki/File:Palais_de_l%27Isle_in_Annecy_11.jpg	Featured pictures of buildings
0007	photo_0007.jpg	5233761	02cb2e1d717a4f02a4084c4e49b54b2fa42d97c8	CC BY-SA 3.0 pl	1bumer	https://upload.wikimedia.org/wikipedia/commons/c/c1/Jastarnia%2C_schron_bojowy_S%C4%99p_%28WLZ14%29.jpg	https://commons.wikimedia.org/wiki/File:Jastarnia,_schron_bojowy_S%C4%99p_(WLZ14).jpg	Featured pictures of buildings
0008	photo_0008.jpg	10602485	02cd27f7329a6c1c3a81e70a86272b9a8f1b3763	CC BY-SA 4.0	Original: Liming Huang Derivative work: Radomianin	https://upload.wikimedia.org/wikipedia/commons/0/05/Slow_Life_in_A_Tea_House_01_edited.jpg	https://commons.wikimedia.org/wiki/File:Slow_Life_in_A_Tea_House_01_edited.jpg	Featured pictures of people
0009	photo_0009.jpg	9889972	02ed691e91c26495ee9366df125d8088e2cc3287	CC BY-SA 4.0	Dominicus Johannes Bergsma.	https://upload.wikimedia.org/wikipedia/commons/d/d2/Uitlopende_knoppen_van_een_esdoorn_%28Acer_platanoides%29._12-04-2026_%28d.j.b.%29.jpg	https://commons.wikimedia.org/wiki/File:Uitlopende_knoppen_van_een_esdoorn_(Acer_platanoides)._12-04-2026_(d.j.b.).jpg	Featured pictures of plants
0010	photo_0010.jpg	6099650	032dd3388ceac96ae7c85b51484e6560c92d0065	CC BY-SA 3.0	Carlos Delgado	https://upload.wikimedia.org/wikipedia/commons/c/c1/Palacio_de_Comunicaciones_-_47.jpg	https://commons.wikimedia.org/wiki/File:Palacio_de_Comunicaciones_-_47.jpg	Featured pictures of buildings
